Text,Label
ส่วนตัวเป็นคนค่อนข้างเรื่องมาก,  O
พอไปเจอโรงแรมนี้คือว้าว,  O
และเป็นการจองผ่านแอพครั้งแรกค่ะ,  O
เข้าไปนึกว่าจะอยู่ห่างหาดมาก,  B-LocationPos
แต่เอาความจริงคือใกล้หาด,  I-LocationPos
ห้องสะอาด,  B-CleanPos
วิวดีค่ะ,  B-GoodView
ราคาไม่แพงทุกอย่างในห้องคือสะอาด,  B-PricePos
พี่ที่เคาน์เตอร์คือบริการพูดเพราะสอบถามให้คำแนะนำสำหรับการมาพักหลายๆวันด้วย,  B-ServicePos
โรงแรมหาไม่ยากค่ะติดถนน,  O
และได้เจอเพื่อนต่างชาติบนลิฟต์ได้พูดคุยน่ารักเป็นกันเอง,  O
สระน้ำไม่ใหญ่มากแต่สะอาดค่ะ,  O
ใครมองๆหาแนะนำเลยค่ะ,  B-RecommendPos
ส่วนตัวประทับใจมากค่ะ,  B-ImpressedPos
ไว้ไปใหม่ค่าาาา,  I-ImpressedPos
ห้องใหญ่มากแบ่งเป็นสัดส่วน,  B-RoomPos
ห้องนอน,  I-RoomPos
ห้องนั่งเล่น,  I-RoomPos
มีห้องน้ำในห้องนอน,  I-RoomPos
และห้องน้ำในห้องนั่งเล่น,  I-RoomPos
พนักงานบริการดีมาก,  B-ServicePos
ห้องสะอาด,  B-CleanPos
ห้องน้ำสะอาด,  I-CleanPos
ทำเลไกล้ของกินอร่อยๆหลายร้าน,  B-LocationPos
เดินทางสะดวก,  I-LocationPos
หาของกินง่าย,  I-LocationPos
ห้องพักดีมากกกก,  B-RoomPos
บรรยากาศคือน่าอยู่อยากอยู่เป็นอาทิตย์เลย,  I-RoomPos
วิวสวยสุดๆ,  B-GoodView
มีทั้งบาร์,  B-FacilitiesPos
ห้องอาหาร,  I-FacilitiesPos
สิ่งอำนวยความสะดวกหลายอย่าง,  I-FacilitiesPos
ที่สำคัญพนักงานบริการดีมาก,  B-ServicePos
เฟรนลี่เป็นกันเองมากๆ,  I-ServicePos
ขอบคุณที่ให้บริการลูกค้าเป็นอย่างดี,  I-ServicePos
เป็นอีกที่ๆนึงที่ทุกคนต้องมา,  O
ประทับใจในการบริการ,  B-ImpressedPos
ที่สมกับเป็นโรงแรม,  I-ImpressedPos
5,  I-ImpressedPos
ดาว,  I-ImpressedPos
พนง.ยิ้มแย้มทักทายทุกครั้งที่เจอหน้า,  B-ServicePos
พนง.ทำความสะอาดพับผ้าที่กองไว้ยุ่งเหยิงให้ด้วยเป็นอะไรที่เหนือความคาดหมาย,  I-ServicePos
มีโอกาสกลับไปอีกแน่นอน,  O
ที่พักสะอาดปลอดภัย,  O
ห้องเก็บเสียงได้เงียบดี,  B-RoomPos
อุปกรณ์อำนวยความสะดวกครบครัน,  B-FacilitiesPos
ห้องกว้างขวาง,  B-RoomPos
พนักงานบริการดีมาก,  B-ServicePos
อาหารเช้าของที่นี่ถือว่าคุ้มกับเงินที่จ่ายเพิ่มมานิดหน่อย,  B-ValuePos
สถานที่ตั้งโอเค,  B-LocationPos
เหมาะในการพักผ่อน,  I-LocationPos
เงียบสงบ,  I-LocationPos
และเดินทางเข้าเมืองได้สะดวก,  I-LocationPos
ห้องสะอาดดีมาก,  B-CleanPos
การบริการของพนักงานดีงามทุกท่านเลย,  B-ServicePos
สุดยอดครับ,  O
ถ้าได้ไปเขียงใหม่อีก,  O
ก็จะพักที่นี่โดยไม่ลังเล,  O
เลยครับ,  O
ห้องพักไม่สะอาดเลย,  B-CleanNeg
ฝุ่นใต้เตียงและเฟอร์นิเจอร์เยอะ,  I-CleanNeg
ห้องพักไม่มีอุปกรณ์พื้นฐานมาให้,  B-FacilitiesNeg
เช่น,  I-FacilitiesNeg
ตู้เย็น,  I-FacilitiesNeg
และเตารีด,  I-FacilitiesNeg
ให้หมอนเพียง,  I-FacilitiesNeg
2,  I-FacilitiesNeg
ใบเท่านั้น,  I-FacilitiesNeg
ซึ่งฉันตกใจเพราะโรงแรมส่วนใหญ่มีให้,  I-FacilitiesNeg
4,  I-FacilitiesNeg
ใบ,  I-FacilitiesNeg
เครื่องทำความร้อนในห้องน้ำทำงานได้ไม่ดี,  I-FacilitiesNeg
การบริการลูกค้าที่แย่ที่สุดในบรรดาโรงแรม,  B-ServiceNeg
ฉันจองไว้,  O
2,  O
ห้องเพื่อฉลองวันเกิดกับครอบครัวเมื่อวานนี้,  O
ฉันยังมีห้องเอ็กเซ็กคูทีฟสวีทและห้องสแตนดาร์ดด้วย,  O
เมื่อใช้สระว่ายน้ำ,  O
พวกเขาแจ้งให้เราทราบว่าเราอนุญาตให้คนสองคนใช้สระว่ายน้ำและเด็กหนึ่งคนเท่านั้น,  O
เนื่องจากห้องมาตรฐานไม่สามารถเข้าถึงสระว่ายน้ำได้,  O
น่าผิดหวังมากที่เราถูกจำกัดการใช้สระว่ายน้ำแม้ว่าเราจะเป็นแขกในโรงแรมก็ตาม,  O
ไม่มีโถชำระล้าง,  B-FacilitiesNeg
ไม่มีรองเท้าแตะ,  I-FacilitiesNeg
ไม่มีอุปกรณ์อาบน้ำกาแฟเสริม,  I-FacilitiesNeg
ไม่มีเสื้อคลุมอาบน้ำ,  I-FacilitiesNeg
ไม่มีน้ำบริการ,  I-FacilitiesNeg
พนักงานบริการแย่มากไม่มีที่จอดรถให้ฉันจึงไม่เข้าพักและจะร้องเรียนให้ถึงที่สุดโดยเฉพาะพนักงานยกกระเป๋ามีที่จอดแต่ไม่บอกแขกที่พักยืนเฉยเฉยส่วนพนักงานที่เคาน์เตอร์ก็ไม่มีใจบริการไม่ช่วยแก้ปัญหายืนเฉยเฉยฉันไม่มีทางที่จะจ่ายเงินให้กับโรงแรมอย่างคุณแน่นอนและจะร้องเรียนกับ,  B-ServiceNeg
สคบ,  I-ServiceNeg
ให้ถึงที่สุด,  I-ServiceNeg
ห้องพักมีฝุ่นเยอะมาก,  B-RoomNeg
ห่วยแตกมาก,  B-ImpressedNeg
พนักงานพูดจาไร้มารยาท,  B-ServiceNeg
โรงแรมนี้ควร,  O
อบรมพนักงานใหม่นะคะ,  O
ห้องพักราคาไม่แพง,  B-PricePos
สะอาด,  B-CleanPos
สะดวกสบาย,  B-FacilitiesPos
มีสิ่งอำนวยความสะดวกครบครัน,  B-FacilitiesPos
มีฟิตเนสและสระว่ายน้ำ,  I-FacilitiesPos
พนักงานบริการดี,  B-ServicePos
พูดจาไพเราะ,  I-ServicePos
ครั้งหน้าถ้ามาเชียงใหม่จะแวะมาพักที่นี่อีกแน่นอนค่ะ,  O
ทำเลที่ตั้งดี,  B-LocationPos
ไปมาสะดวก,  I-LocationPos
แ,  O
พาครอบครัวมาเที่ยวสงกรานต์เชียงใหม่,  O
2566,  O
สิ่งอำนวยความสะดวกต่างๆถือว่าใช้ได้,  B-FacilitiesNeu
พนักงานให้บริการดีมาก,  B-ServicePos
เครื่องนอนนุ่มสบายดีมาก,  B-FacilitiesPos
อาหารเช้าดี,  B-FoodPos
พนักงานบริการดี,  B-ServicePos
ขอบคุณมากค่ะ,  I-ServicePos
ปรับปรุงแค่อาหารเช้ามีควรมีหมูด้วยทำเมนูสร้างสรรค์ไม่ใช่ผัดง่ายๆมา,  B-FoodNeg
เดินทางสะดวก,  B-LocationPos
รร.เปิดมานานแล้วแต่สะอาด,  B-CleanPos
อุปกรณ์ครบครับ,  B-FacilitiesPos
แอร์เย็นมาก,  I-FacilitiesPos
ราคาถูก,  B-PricePos
สะอาด,  B-CleanPos
สะดวกสบาย,  B-ConveniencePos
คุ้มค่ากับราคาครับ,  B-ValuePos
ห้องนอนดี,  B-RoomPos
สะอาด,  B-CleanPos
อยู่ใจกลางเมือง,  B-LocationPos
เดินทางสะดวก,  I-LocationPos
พนักงานบริการดี,  B-ServicePos
คุ้มค่ามาก,  B-ValuePos
เป็นครั้งที่สามที่มาพักที่นี่,  O
ที่ชอบสุดคือสไตล์ไทยๆ,  O
ติดถนนไปไหนมาไหนสะดวกสบาย,  B-LocationPos
ไม่โอเค,  B-ImpressedNeg
รร,  I-ImpressedNeg
เก่ามาก,  I-ImpressedNeg
น่ากลัว,  I-ImpressedNeg
ใครคิดจะมาเที่ยวเชียงใหม่,  B-RecommendNeg
อย่ามาพักโรงแรมนี้นะครับ,  I-RecommendNeg
มันเอาน้ำขุ่นๆให้อาบ,  I-RecommendNeg
ห้องน้ำไม่สะอาด,  B-CleanNeg
โรงแรมเก่า,  I-CleanNeg
พนักงานให้บริการไม่ให้ข้อมูลอะไรเลย,  B-ServiceNeg
ลูกค้าต้องถามเอง,  I-ServiceNeg
อาหารเช้าจะดูแลเป็นอย่างดี,  B-FoodNeg
เฉพาะกลุ่มที่รู้จัก,  I-FoodNeg
รสชาต,  I-FoodNeg
อาหารแย่ลงมาก,  I-FoodNeg
ๆๆๆ,  I-FoodNeg
และน้อยมาก,  I-FoodNeg
เตียงและเฟอร์นิเจอรเก่ามาก,  B-FacilitiesNeg
ห้องพักดี,  B-RoomPos
สะอาด,  B-CleanPos
ที่นอน,  B-FacilitiesPos
หมอน,  I-FacilitiesPos
อุปกรณ์เครื่องใช้,  I-FacilitiesPos
ดีทุกอย่าง,  I-FacilitiesPos
พนักงานบริการดี,  B-ServicePos
เป็นโรงแรมที่สะอาด,  B-CleanPos
บริการดี,  B-ServicePos
ทำเลยดี,  B-LocationPos
มีห้องพักหลายประเภทให้เลือก,  B-RoomNeu
ทั้งมาแบบเดี่ยว,  I-RoomNeu
คู่,  I-RoomNeu
คณะที่ต้องการพัก,  I-RoomNeu
1-5,  I-RoomNeu
คนรวมกัน,  I-RoomNeu
อาหารเช้าคุณภาพดี,  B-FoodPos
อบอุ่น,  B-ConveniencePos
นอนสบาย,  I-ConveniencePos
ชอบความให้กรอกน้ำจากตู้ข้างนอกใส่ขวดส่วนตัว,  I-ConveniencePos
มีแก้วน่ารักๆต่างหาก,  I-ConveniencePos
พนงน่ารักใจดี,  B-ServicePos
ฝากกระเป๋าก่อนหลังเช็คอินเช็คเอ้าก้ได้,  I-ServicePos
เตียงนุ่ม,  O
ห้องน้ำกว้างขวาง,  O
อาหารเช้าอร่อย,  B-FoodPos
พนักงานบริการดี,  B-ServicePos
แค่นี้ก็ไม่ไปไหนล่ะค่ะ,  I-ServicePos
^^,  O
พนักงานบริการดี,  B-ServicePos
ใจดี,  I-ServicePos
ห้องสะอาด,  B-CleanPos
เตียงนุ่ม,  B-ImpressedPos
ประทับใจมาก,  I-ImpressedPos
สิ่งอำนวยความสะดวกเช่นหมวกอาบน้ำ,  B-FacilitiesNeg
รองเท้าแตะในห้อง,  I-FacilitiesNeg
ไม้แคะหู,  I-FacilitiesNeg
ต้องร้องขอที่รีเซพชัน,  I-FacilitiesNeg
ทางโรงแรมไม่เตรียมไว้ให้ในห้อง,  I-FacilitiesNeg
ผ้าเช็ดตัวเก่ามาก,  I-FacilitiesNeg
ห้องที่พักทัศนียภาพแย่มากๆ,  I-FacilitiesNeg
ที่จอดรถไม่เพียงพอกับขนาดโรงแรมไม่แนะนำเข้าพัก,  B-RecommendNeg
ผ้าห่มสกปรกมากไม่ควรใช้บริการลูกค้าควรทิ้งได้แล้ว,  B-CleanNeg
ทั้งขาด,  I-CleanNeg
ดินสีดำ,  I-CleanNeg
คราบเลือด,  I-CleanNeg
คราบเหลือง,  I-CleanNeg
และผ้าเช็ดตัวเก่ามากขาดเป็นลุ่ยๆแล้ว,  I-CleanNeg
ไม่แน่ใจว่าแม่บ้านได้เช็คห้องก่อนส่งหรือไม่,  I-CleanNeg
ที่พักน่ารักมากค่ะ,  B-GoodView
วิวดี,  I-GoodView
บรรยากาศดี,  I-GoodView
มีอ่างหน้าห้อง,  O
ฟินมากก,  O
บริการก็ดี,  B-ServicePos
มีโอกาสจะกลับไปอีกแน่นอนค่ะ,  O
อากาศดีมาก,  B-GoodView
อาหารอร่อย,  B-FoodPos
เป็นกันเองมาก,  B-RecommendPos
เหมาะกับมาผักผ่อนมากๆ,  I-RecommendPos
แนะนำที่นี่ค่ะ,  I-RecommendPos
วิวดีมาก,  B-GoodView
ห้องพักสะอาด,  B-CleanPos
สะดวก,  B-FacilitiesPos
มีของใช้ให้ครบเลยค่ะ,  I-FacilitiesPos
เป็นส่วนตัว,  B-RecommendPos
แนะนำเลยค่ะ,  I-RecommendPos
4,  I-RecommendPos
คนกำลังดีมาก,  I-RecommendPos
ๆ,  I-RecommendPos
บริการแย่,  B-ServiceNeg
จนไม่เข้าพัก,  I-ServiceNeg
ถือกระเป๋าออกไปพักที่อื่น,  I-ServiceNeg
เปลี่ยนวันก็ไม่ได้,  O
ห้องแย่,  B-RoomNeg
หมอนไม่ได้เปลี่ยน,  I-RoomNeg
กลิ่นอับมาก,  I-RoomNeg
ห้องเล็กสุดๆ,  I-RoomNeg
มีรอยแดงๆด้วย,  I-RoomNeg
ไม่รู้รอยอะไร,  I-RoomNeg
ห้องพักไม่สะอาด,  B-CleanNeg
มีหน้ากากเก่าใช้แล้วทิ้งไว้ในตู้เสื้อผ้า,  I-CleanNeg
พื้นห้องเหมือนไม่ได้กวาดหรือดูดฝุ่น,  I-CleanNeg
ที่สำคัญที่นอนแข็งมาก,  O
เสียงดนตรีดังจากสถานบันเทิง,  O
แทบจะไม่ได้นอน,  O
เป็นโรงแรมที่ดีมากวิวสวยบริการดีไม่รู้จะหักคะแนนตรงไหนเลย,  B-GoodView
ไม่แนะนำสำหรับผู้เข้าพักที่มีเด็กเข้าพักค่ะบริเวณรอบนอกเสียงดังจากบาร์และพับ,  B-RecommendNeg
ห้องไม่เก็บเสียง,  B-RoomNeg
พนักงานติดลบค่ะ,  B-ServiceNeg
เข้าพักครั้งแรก,  O
ชอบมากครับ,  O
แต่เสียดาย,  O
สระว่ายน้ำปิดเร็วไปนิดนึง,  B-FacilitiesNeu
อยากเสพบรรยากาศยามค่ำคืนของขอนแก่นละเล่นน้ำไปด้วย,  I-FacilitiesNeu
น่าจะปิดสระสัก,  I-FacilitiesNeu
3-4,  I-FacilitiesNeu
ทุ่มจะโคตรดีเลยครับ,  I-FacilitiesNeu
ยุงเยอะ,  O
นอนฟังเพลงจากผับทั้งคืน,  B-RoomNeg
กว่าจะได้นอน,  I-RoomNeg
ราคาแรงหน่อยถ้าเทียบกับแบรนด์ใหญ่ในขอนแก่น,  B-PricePos
แต่ทุกอย่างคือปังไม่ไหว,  I-PricePos
ทำเล,  I-PricePos
อาหาร,  I-PricePos
ห้องพัก,  I-PricePos
พนักงาน,  I-PricePos
5,  I-PricePos
ดาวสุดๆที่ไม่มีโรงแรมไหนในขอนแก่นเทียบได้,  I-PricePos
กลับขอนแก่นอีกยังไงก็จะนอนที่นี้ตลอดไป,  O
ห้องพัก,  B-CleanNeg
ไม่สะอาด,  I-CleanNeg
เอามากๆ,  I-CleanNeg
ทั้งบริเวรณล๊อบบี้,  I-CleanNeg
ทางเดิน,  I-CleanNeg
ลิฟต์,  I-CleanNeg
ไม่เหมาะกับการที่จะพาเด็กมาพัก,  I-CleanNeg
ห้องพักสะอาด,  B-CleanPos
พนักงานน่ารัก,  B-ServicePos
มีใจบริการ,  I-ServicePos
พร้อมช่วยเหลือลูกค้า,  I-ServicePos
ใส่ใจดูและดีมาก,  I-ServicePos
คุณลุง,  I-ServicePos
รปภ,  I-ServicePos
ช่วงกลางวัน,  I-ServicePos
บริการใส่ใจดีมาก,  I-ServicePos
ค่อยช่วยเปิดประตู,  I-ServicePos
ยกกระเป๋า,  I-ServicePos
ระวังรถให้ตลอดเวลา,  I-ServicePos
ไม่ว่าจะเข้าออกกี่ครั้งก็ใส่ใจดูแลดีทุกครั้ง,  I-ServicePos
ที่พักอยู่ติดที่เที่ยว,  B-LocationNeg
เสียงดังทั้งคืน,  I-LocationNeg
หลังตีสองถึงจะนอนได้,  I-LocationNeg
สำหรับคนอยากพักผ่อนควรหาที่พักบริเวณอื่น,  I-LocationNeg
ดีคะสวยสะอาดเสียอย่างเดียวไม่มีที่,  B-CleanPos
แขวนเสื้อผ้ามีแต่,  B-FacilitiesNeu
ก็ไม่ใช่เป็นตู้,  I-FacilitiesNeu
เป็นที่แขวนเหมือนผ้าเช็ดตัว,  I-FacilitiesNeu
แต่ทุกอย่างก็สวยงาม,  B-GoodView
วิวสวย,  I-GoodView
สระว่ายน้ำสวย,  I-GoodView
ราคาถูก,  B-PricePos
ไม่แรง,  I-PricePos
แต่ไม่สะอาด,  B-CleanNeg
เช่น,  I-CleanNeg
โซฟาต้อนรับ,  I-CleanNeg
มีแต่ฝุ่น,  I-CleanNeg
และมีคราบ,  I-CleanNeg
ในลิฟท์ก็มีแต่คราบสกปรก,  I-CleanNeg
พื้นกระเบื้องถูแล้วแต่กลิ่นคาวหึ่งเลย,  I-CleanNeg
อาจจะเป็นแค่วันที่ผมไปละมั้งคับ,  I-CleanNeg
โลเคชั่นดีมากใจกลางเมืองเลย,  B-LocationPos
รร.+ห้องพักค่อนข้างเก่า,  B-CleanPos
แต่สะอาด,  I-CleanPos
เตียงนุ่มนอนสบาย,  B-ConveniencePos
ห้องเพื่อนตรงโซฟามีเก้าอี้รองขาแต่ของเราไม่มีค่ะ,  O
อาหารเช้าอร่อยและค่อนข้างหลากหลาย,  B-FoodPos
บรรยากาศ,  B-GoodView
รร,  I-GoodView
เงียบสงบดีค่ะ,  I-GoodView
พนักงานยกกระเป๋าน่ารักค่ะ,  B-ServicePos
พนักงานแย่,  B-ServiceNeg
ที่นอนเก่ามาก,  B-FacilitiesNeg
เตียงยุบ,  I-FacilitiesNeg
ไม่สะดวกมากในเรื่องที่จอดรถ,  I-FacilitiesNeg
ถ้าราคาประมานนี้ครวหาที่พักที่อื่น,  B-ValueNeg
ห้องไม่ค่อยสะอาด,  B-CleanNeg
อาหารเช้าธรรมดา,  B-FoodNeu
ห้องพักราคาค่อนข้างแพงถ้าเทียบกับข้างเคียงแต่การให้บริการกลับมีให้พร้อมมากกว่าแต่ราคาถูกกว่า,  B-PriceNeg
เหมือนฉวยโอกาสขึ้นราคาช่วงวันหยุด,  O
เอาเปรียบคนไทยด้วยกันเองทุกๆอย่าง,  O
สิ่งอำนวยความสะดวกภายในห้องมีให้ไม่เพียงพอกับห้องที่เข้าพัก,  B-FacilitiesNeg
และอาหารเช้าไม่มีให้กับราคาห้องที่ค่อนข้างแพง,  B-ValueNeg
ถ้าเทียบกับโรงแรมข้างเคียงกัน,  I-ValueNeg
เปิดให้,  B-RoomNeg
ห้องเดียว,  I-RoomNeg
เตียง,  I-RoomNeg
5,  I-RoomNeg
ฟุต,  I-RoomNeg
***แต่,  I-RoomNeg
ที่บ้านก็,  I-RoomNeg
5,  I-RoomNeg
ฟุต,  I-RoomNeg
ทำไมมันใหญ่,  I-RoomNeg
กว่านี้,  I-RoomNeg
อีกห้องเตียง,  I-RoomNeg
6,  I-RoomNeg
ฟุต,  I-RoomNeg
ล็อต,  I-RoomNeg
จะเปิดให้ต้องจ่ายเพิ่ม,  I-RoomNeg
500,  I-RoomNeg
บาท,  I-RoomNeg
คือจอง,  I-RoomNeg
ก็เห็นเขียนว่า,  I-RoomNeg
เตียง,  I-RoomNeg
คิงไซด์,  I-RoomNeg
นะ,  I-RoomNeg
ห่าเอ้ย,  I-RoomNeg
ลูกกูก็เล็ก,  I-RoomNeg
เตียงก็แคบ,  I-RoomNeg
นอนโซฟา,  I-RoomNeg
ไปสิครับ,  I-RoomNeg
พนักงานเช็คอิน,  B-ServiceNeg
บริการแย่,  I-ServiceNeg
ไม่ประทับใจห้องแคบมากๆจะไม่กลับไปใช้บริการที่นี่อีกต่อไป,  B-ImpressedNeg
ไม่มีอะไรเลย,  I-ImpressedNeg
พนักงาน,  B-ServiceNeg
บริการแย่,  I-ServiceNeg
อาหารเช้าห่วย,  B-FoodNeg
อันดับแรกคือพนักงานทุกคนต้อนรับดีมาก,  B-ServicePos
ห้องพักดี,  B-RoomPos
อาหารเช้าเยอะ,  B-FoodPos
ที่จอดรถสะดวก,  B-FacilitiesPos
ดีมากๆ,  I-FacilitiesPos
คุ้มค่ากับราคา,  B-ValuePos
เงียบสงบ,  B-LocationPos
ติดถนนหาง่ายและใกล้เดินทางาะดวกสบาย,  I-LocationPos
ห้องพักดี,  B-RoomPos
พนักงานให้ข้อมูลดีมาก,  B-ServicePos
อาหารเช้าพอใช้ได้,  B-FoodNeu
